,,"CHARGEBACK CLEARING ACCOUNT             ","J0099"
,,"COMPTROLLER OF THE TREASURY- MISC GRANTS","K0001"
"PAYMENTS TO CIVIL DIVISIONS OF THE STATE ","A15","DISPARITY GRANTS                        ","O0001"
"PAYMENTS TO CIVIL DIVISIONS OF THE STATE ","A15","TEACHER RETIREMENT SUPPLEMENTAL GRANTS  ","O0002"
"PAYMENTS TO CIVIL DIVISIONS OF THE STATE ","A15","CHARGEBACK CLEARING ACCOUNT             ","O0099"
"PAYMENTS TO CIVIL DIVISIONS OF THE STATE ","A18","SECURITY INTEREST FILING FEES           ","R0001"
"PAYMENTS TO CIVIL DIVISIONS OF THE STATE ","A19","RETIRE CONTRIB CERTAIN LOCAL EMPLOYEES  ","S0001"
"PAYMENTS TO CIVIL DIVISIONS OF THE STATE ","A20","ELECTRICITY GEN EQUIP PROP TAX GRANT    ","T0001"
"GENERAL ASSEMBLY OF MARYLAND ","B75","FIXED ASSETS                            ","A01XX"
"GENERAL ASSEMBLY OF MARYLAND ","B75","GENERAL FUND REVENUE                    ","A0100"
"GENERAL ASSEMBLY OF MARYLAND ","B75","SENATE                                  ","A0101"
"GENERAL ASSEMBLY OF MARYLAND ","B75","HOUSE OF DELEGATES                      ","A0102"
"GENERAL ASSEMBLY OF MARYLAND ","B75","GENERAL LEGISLATIVE EXPENSES            ","A0103"
"GENERAL ASSEMBLY OF MARYLAND ","B75","OFFICE OF THE EXECUTIVE DIRECTOR        ","A0104"
"GENERAL ASSEMBLY OF MARYLAND ","B75","OFFICE OF LEGISLATIVE AUDITS            ","A0105"
"GENERAL ASSEMBLY OF MARYLAND ","B75","OFFICE OF LEGISLATIVE INFORMATION SYSTEM","A0106"
"GENERAL ASSEMBLY OF MARYLAND ","B75","OFFICE OF POLICY ANALYSIS               ","A0107"
"GENERAL ASSEMBLY OF MARYLAND ","B75","CLEARING ACCOUNT                        ","A0125"
"GENERAL ASSEMBLY OF MARYLAND ","B75","CORPORATE PURCHASING CARD DEFAULT ACCT  ","A0150"
"GENERAL ASSEMBLY OF MARYLAND ","B75","CHARGEBACK CLEARING ACCOUNT             ","A0199"
"JUDICIARY ","C00","FIXED ASSETS                            ","A00XX"
"JUDICIARY ","C00","GENERAL FUND REVENUE                    ","A0000"
"JUDICIARY ","C00","COURT OF APPEALS                        ","A0001"
"JUDICIARY ","C00","COURT OF SPECIAL APPEALS                ","A0002"
"JUDICIARY ","C00","CIRCUIT COURT JUDGES                    ","A0003"
"JUDICIARY ","C00","DISTRICT COURT                          ","A0004"
"JUDICIARY ","C00","MARYLAND JUDICIAL CONFERENCE            ","A0005"
"JUDICIARY ","C00","ADMINISTRATIVE OFFICE OF COURTS         ","A0006"
"JUDICIARY ","C00","COURT RELATED AGENCIES                  ","A0007"
"JUDICIARY ","C00","STATE LAW LIBRARY                       ","A0008"
"JUDICIARY ","C00","JUDICIAL INFORMATION SYSTEMS            ","A0009"
"JUDICIARY ","C00","CIRCUIT COURT- CLERKS                   ","A0010"
"JUDICIARY ","C00","FAMILY LAW DIVISION                     ","A0011"
"JUDICIARY ","C00","MAJOR IT PROJECTS                       ","A0012"
"JUDICIARY ","C00","PLATS                                   ","A0023"
"JUDICIARY ","C00","CLEARING ACCOUNT                        ","A0025"
"JUDICIARY ","C00","IMP FUND SUR CHARGE                     ","A0027"
"JUDICIARY ","C00","CIGARETTE SPECIAL RETAILER              ","A0028"
"JUDICIARY ","C00","MD SUBSTANCE ABUSE                      ","A0031"
"JUDICIARY ","C00","CRIMINAL INJURIES                       ","A0032"
"JUDICIARY ","C00","VICTIMS OF CRIME FUND                   ","A0033"
"JUDICIARY ","C00","CICF / VCF FUND                         ","A0034"
"JUDICIARY ","C00","VICTIM N WITNESS PROTECTION & RELOCATION","A0035"
"JUDICIARY ","C00","PROPERTY TRANSFER TAX REVENUE ACCOUNT   ","A0036"
"JUDICIARY ","C00","FORECLOSURE MEDIATION REVENUE ACCOUNT   ","A0039"
"JUDICIARY ","C00","JANET L. HOFFMAN LOAN ASSISTANCE REPAYM ","A0041"
"JUDICIARY ","C00","ASBESTOS WORKER PROTECTION FUND         ","A0042"
"JUDICIARY ","C00","GENERAL FUND REVENUE                    ","A0097"
"JUDICIARY ","C00","CHARGEBACK CLEARING ACCOUNT             ","A0099"
"JUDICIARY ","C00","GENERAL FUND REVENUE ACCOUNT            ","A0100"
"JUDICIARY ","C00","IMP FUND SUR CHARGE                     ","A0103"
"JUDICIARY ","C00","PAROLE AND PROBATION ACCOUNT            ","A0124"
"JUDICIARY ","C00","NATURAL RESOURCES REVENUE ACCOUNT       ","A0126"
