"C99F00","WORKERS' COMPENSATION COMMISSION "
"D14A18","GOVERNOR'S OFFICE OF CHILDREN "
"K00A11","BOATING SERVICES "
"R95991","BALTIMORE CITY SHERIFFS OFFICE "
"Q00A02","DEPUTY SECRETARY FOR OPERATIONS "
"Q00A03","MARYLAND CORRECTIONAL ENTERPRISES "
"Q00R01","GENERAL ADMINISTRATION - NORTH "
"Q00R02","CORRECTIONS - NORTH "
"Q00R03","COMMUNITY SUPERVISION - NORTH "
"Q00S01","GENERAL ADMINISTRATION - SOUTH "
"Q00S02","CORRECTIONS - SOUTH "
"Q00S03","COMMUNITY SUPERVISION - SOUTH "
"Q00T01","GENERAL ADMINISTRATION - CENTRAL "
"Q00T02","CORRECTIONS - CENTRAL "
"Q00T03","COMMUNITY SUPERVISION - CENTRAL "
"Q00T04","DETENTION - CENTRAL "
"D79510","FISCAL ACCOUNTS PAYABLE "
"D78001","MARYLAND HEALTH BENEFIT EXCHANGE "
"M00M06","DEVELOPMENT DISABILITIES FORENSICS AGENCY "
"H00F01","MD STATE SURPLUS PROPERTY "
"V00E13","RESTORATIVE JUSTICE SUPV "
"V00E05","MD YOUTH RESIDENCE CTR "
"V00E11","CHELTENHAM YOUTH FACILITY "
"V00E12","YOUNG WOMENS CTR "
"S50B01","GENERAL ADMINISTRATION "
"D79540","FISCAL SERVICES "
"C98F00","WORKERS COMPENSATION COMMISSION "
"D79550","PURCHASING "
"R00A05","MARYLAND LONGITUDINAL DATA SYSTEM CENTER "
"C00A01","CIRCUIT COURT FOR ALLEGANY COUNTY "
"C00A02","CIRCUIT COURT FOR ANNE ARUNDEL COUNTY "
"C00A03","CIRCUIT COURT FOR BALTIMORE COUNTY "
"C00A04","CIRCUIT COURT FOR CALVERT COUNTY "
"C00A05","CIRCUIT COURT FOR CAROLINE COUNTY "
"C00A06","CIRCUIT COURT FOR CARROLL COUNTY "
"C00A07","CIRCUIT COURT FOR CECIL COUNTY "
"C00A08","CIRCUIT COURT FOR CHARLES COUNTY "
"C00A09","CIRCUIT COURT FOR DORCHESTER COUNTY "
"C00A10","CIRCUIT COURT FOR FREDERICK COUNTY "
"C00A11","CIRCUIT COURT FOR GARRETT COUNTY "
"C00A12","CIRCUIT COURT FOR HARFORD COUNTY "
"C00A13","CIRCUIT COURT FOR HOWARD COUNTY "
"C00A14","CIRCUIT COURT FOR KENT COUNTY "
"C00A15","CIRCUIT COURT FOR MONTGOMERY COUNTY "
"C00A16","CIRCUIT COURT FOR PRINCE GEORGES COUNTY "
"C00A17","CIRCUIT COURT FOR QUEEN ANNES COUNTY "
"C00A18","CIRCUIT COURT FOR ST MARYS COUNTY "
"C00A19","CIRCUIT COURT FOR SOMERSET COUNTY "
"C00A20","CIRCUIT COURT FOR TALBOT COUNTY "
"C00A21","CIRCUIT COURT FOR WASHINGTON COUNTY "
"C00A22","CIRCUIT COURT FOR WICOMICO COUNTY "
"C00A23","CIRCUIT COURT FOR WORCESTER COUNTY "
"C00A24","CIRCUIT COURT FOR BALTIMORE CITY "
"V00D09","DJS - 09 "
"V00D05","DJS - 05 "
"V00D08","DJS - 08 "
"V00D06","DJS - 06 "
"V00H1","DJS - RESIDENTIAL SUPPORT "
"M00L15","UPPER SHORE MENTAL HOSPITAL "
"M00M15","ROSEWOOD HOSPITAL CENTER "
"R30B31","UNIVERSITY OF MARYLAND BALTIMORE COUNTY "
"B75A01","GENERAL ASSEMBLY OF MARYLAND "
"C00A00","JUDICIARY "
"C80B00","OFFICE OF THE PUBLIC DEFENDER "
"C81C00","OFFICE OF THE ATTORNEY GENERAL "
"C82D00","OFFICE OF THE STATE PROSECUTOR "
"C85E00","MARYLAND TAX COURT "
"C90G00","PUBLIC SERVICE COMMISSION "
"C91H00","OFFICE OF THE PEOPLE'S COUNSEL "
