agency_code,agency,office_code,office,dept_code,dept,fund,approp
A15,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,A15O00,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,O0001,DISPARITY GRANTS                        ,General Fund,135797164
A15,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,A15O00,PAYMENTS TO CIVIL DIVISIONS OF THE STATE ,O0002,TEACHER RETIREMENT SUPPLEMENTAL GRANTS  ,General Fund,27658662
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0101,SENATE                                  ,General Fund,12082120
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0102,HOUSE OF DELEGATES                      ,General Fund,22409642
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0103,GENERAL LEGISLATIVE EXPENSES            ,General Fund,1017985
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0104,OFFICE OF THE EXECUTIVE DIRECTOR        ,General Fund,11526918
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0105,OFFICE OF LEGISLATIVE AUDITS            ,General Fund,13044031
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0106,OFFICE OF LEGISLATIVE INFORMATION SYSTEM,General Fund,5130541
B75,GENERAL ASSEMBLY OF MARYLAND ,B75A01,GENERAL ASSEMBLY OF MARYLAND ,A0107,OFFICE OF POLICY ANALYSIS               ,General Fund,16648239
C00,JUDICIARY ,C00A00,JUDICIARY ,A0001,COURT OF APPEALS                        ,General Fund,16678118
C00,JUDICIARY ,C00A00,JUDICIARY ,A0001,COURT OF APPEALS                        ,Federal Fund,108764
C00,JUDICIARY ,C00A00,JUDICIARY ,A0002,COURT OF SPECIAL APPEALS                ,General Fund,10440234
C00,JUDICIARY ,C00A00,JUDICIARY ,A0003,CIRCUIT COURT JUDGES                    ,General Fund,63503643
C00,JUDICIARY ,C00A00,JUDICIARY ,A0004,DISTRICT COURT                          ,General Fund,159591664
C00,JUDICIARY ,C00A00,JUDICIARY ,A0005,MARYLAND JUDICIAL CONFERENCE            ,General Fund,210750
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,General Fund,31273041
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,Special Fund,16628532
C00,JUDICIARY ,C00A00,JUDICIARY ,A0006,ADMINISTRATIVE OFFICE OF COURTS         ,Federal Fund,168635
C00,JUDICIARY ,C00A00,JUDICIARY ,A0007,COURT RELATED AGENCIES                  ,General Fund,6216913
C00,JUDICIARY ,C00A00,JUDICIARY ,A0008,STATE LAW LIBRARY                       ,General Fund,2886557
C00,JUDICIARY ,C00A00,JUDICIARY ,A0008,STATE LAW LIBRARY                       ,Special Fund,9400
C00,JUDICIARY ,C00A00,JUDICIARY ,A0009,JUDICIAL INFORMATION SYSTEMS            ,General Fund,38762002
C00,JUDICIARY ,C00A00,JUDICIARY ,A0009,JUDICIAL INFORMATION SYSTEMS            ,Special Fund,7146954
C00,JUDICIARY ,C00A00,JUDICIARY ,A0010,CIRCUIT COURT- CLERKS                   ,General Fund,83217448
C00,JUDICIARY ,C00A00,JUDICIARY ,A0010,CIRCUIT COURT- CLERKS                   ,Special Fund,18471893
C00,JUDICIARY ,C00A00,JUDICIARY ,A0011,FAMILY LAW DIVISION                     ,General Fund,15362236
C00,JUDICIARY ,C00A00,JUDICIARY ,A0011,FAMILY LAW DIVISION                     ,Federal Fund,30579
C00,JUDICIARY ,C00A00,JUDICIARY ,A0012,MAJOR IT PROJECTS                       ,Special Fund,20728765
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0001,GENERAL ADMINISTRATION                  ,General Fund,6400128
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0002,DISTRICT OPERATIONS                     ,General Fund,83029254
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0002,DISTRICT OPERATIONS                     ,Special Fund,212421
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0003,APPELLATE AND INMATE SERVICES           ,General Fund,6352636
C80,OFFICE OF THE PUBLIC DEFENDER ,C80B00,OFFICE OF THE PUBLIC DEFENDER ,B0004,INVOLUNTARY INSTITUTIONALIZATION SERV.  ,General Fund,1324969
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0001,LEGAL COUNSEL AND ADVICE                ,General Fund,5136284
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0001,LEGAL COUNSEL AND ADVICE                ,Special Fund,504555
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0004,DIVISON OF SECURITIES                   ,General Fund,2324938
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0005,DIVISION OF CONSUMER PROTECTION         ,Special Fund,5064926
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0005,DIVISION OF CONSUMER PROTECTION         ,Federal Fund,66138
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0006,ANTITRUST DIVISION                      ,General Fund,882192
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0009,MEDICAID FRAUD CONTROL UNIT             ,General Fund,961334
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0009,MEDICAID FRAUD CONTROL UNIT             ,Federal Fund,2889208
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0010,PEOPLE'S COUNSEL INSURANCE FUND         ,Special Fund,582081
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0012,JUVENILE JUSTICE MONITORING UNIT        ,General Fund,539196
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0014,CIVIL LITIGATION DIVISION               ,General Fund,2295508
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0014,CIVIL LITIGATION DIVISION               ,Special Fund,471719
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0015,CRIMINAL APPEALS DIVISION               ,General Fund,2711940
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0016,CRIMINAL INVESTIGATION DIVISION         ,General Fund,1738371
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0017,EDUCATIONAL AFFAIRS DIVISION            ,General Fund,437382
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0018,CORRECTIONAL LITIGIATION DIVISION       ,General Fund,306716
C81,OFFICE OF THE ATTORNEY GENERAL ,C81C00,OFFICE OF THE ATTORNEY GENERAL ,C0021,MORTGAGE LOAN SERVICING PRACTICES SETTLE,Special Fund,5642153
C82,OFFICE OF THE STATE PROSECUTOR ,C82D00,OFFICE OF THE STATE PROSECUTOR ,D0001,GENERAL ADMINISTRATION                  ,General Fund,1424296
C85,MARYLAND TAX COURT ,C85E00,MARYLAND TAX COURT ,E0001,ADMINISTRATION AND APPEALS              ,General Fund,604835
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0001,GENERAL ADMIN AND HEARINGS              ,Special Fund,37438927
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0001,GENERAL ADMIN AND HEARINGS              ,Federal Fund,77234
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0002,TELECOMMUNICATIONS                      ,Special Fund,449040
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0003,ENGINEERING INVESTIGATIONS              ,Special Fund,1438681
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0003,ENGINEERING INVESTIGATIONS              ,Federal Fund,313905
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0004,ACCOUNTING INVESTIGATIONS               ,Special Fund,638619
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0005,COMMON CARRIER INVESTIGATIONS           ,Special Fund,1464259
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0006,WASH METROPOLITAN AREA TRANSIT COMM     ,Special Fund,375227
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0007,RATE RESEARCH AND ECONOMICS             ,Special Fund,454614
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0008,HEARING EXAMINER DIVISION               ,Special Fund,755296
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0009,STAFF ATTORNEY                          ,Special Fund,942254
C90,PUBLIC SERVICE COMMISSION ,C90G00,PUBLIC SERVICE COMMISSION ,G0010,INTERGRATED RESOURCE PLANNING DIVISION  ,Special Fund,854729
C91,OFFICE OF THE PEOPLE'S COUNSEL ,C91H00,OFFICE OF THE PEOPLE'S COUNSEL ,H0001,GENERAL ADMINISTRATION                  ,Special Fund,3870628
C94,SUBSEQUENT INJURY FUND ,C94I00,SUBSEQUENT INJURY FUND ,I0001,GENERAL ADMINISTRATION                  ,Special Fund,2179684
C96,UNINSURED EMPLOYERS' FUND ,C96J00,UNINSURED EMPLOYERS' FUND ,J0001,GENERAL ADMINISTRATION                  ,Special Fund,1513732
C98,WORKERS' COMPENSATION COMMISSION,C98F00,WORKERS' COMPENSATION COMMISSION,F0001,GENERAL ADMINISTRATION,Special Fund,14027027
D05,BOARD OF PUBLIC WORKS ,D05E01,BOARD OF PUBLIC WORKS ,E0101,BPW ADMINISTRATIVE STAFF                ,General Fund,942109
D05,BOARD OF PUBLIC WORKS ,D05E01,BOARD OF PUBLIC WORKS ,E0102,CONTINGENT FUND                         ,General Fund,500000
D05,BOARD OF PUBLIC WORKS ,D05E01,BOARD OF PUBLIC WORKS ,E0105,WETLANDS ADMINISTRATION                 ,General Fund,208781
D05,BOARD OF PUBLIC WORKS ,D05E01,BOARD OF PUBLIC WORKS ,E0110,MISC GRANTS TO PRIVATE NON-PROFIT GROUPS,General Fund,6086475
D05,BOARD OF PUBLIC WORKS ,D05E01,BOARD OF PUBLIC WORKS ,E0115,PAYMENTS OF JUDGEMENTS AGAINST THE STATE,General Fund,524308
D06,BOARD OF PUBLIC WORKS - CAPITAL APPROPRIATION ,D06E02,BOARD OF PUBLIC WORKS - CAPITAL APPROPRIATION ,E0201,CAPITAL APPROPRIATION                   ,General Fund,1100000
D06,BOARD OF PUBLIC WORKS - CAPITAL APPROPRIATION ,D06E02,BOARD OF PUBLIC WORKS - CAPITAL APPROPRIATION ,E0202,PUBLIC SCHOOL CAPITAL APPROPRIATION     ,General Fund,12210098
D11,OFFICE OF THE DEAF AND HARD OF HEARING ,D11A04,OFFICE OF DEAF AND HARD OF HEARING ,A0401,EXECUTIVE DIRECTION                     ,General Fund,360573
D12,DEPARTMENT OF DISABILITIES ,D12A02,OFFICE FOR INDIVIDUALS WITH DISABILITIES ,A0201,GENERAL ADMINISTRATION                  ,General Fund,3141495
D12,DEPARTMENT OF DISABILITIES ,D12A02,OFFICE FOR INDIVIDUALS WITH DISABILITIES ,A0201,GENERAL ADMINISTRATION                  ,Special Fund,182100
D12,DEPARTMENT OF DISABILITIES ,D12A02,OFFICE FOR INDIVIDUALS WITH DISABILITIES ,A0201,GENERAL ADMINISTRATION                  ,Federal Fund,7894327
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1301,MARYLAND ENERGY ADMINISTRATION          ,Special Fund,5435686
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1301,MARYLAND ENERGY ADMINISTRATION          ,Federal Fund,740491
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1302,COMMUNITY ENERGY LOAN PRGM - CAPITAL APP,Special Fund,1750000
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1303,STATE AGENCY LOAN PROGRAM-CAPITAL APPROP,Special Fund,1200000
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1306,ENERGY EFFIC & CONSER,Special Fund,10605000
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1307,ENERGY EFFIC & CONSER,Special Fund,9605240
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1307,ENERGY EFFIC & CONSER,Federal Fund,54413
D13,MARYLAND ENERGY ADMINISTRATION ,D13A13,MARYLAND ENERGY ADMINISTRATION ,A1308,RENEWABLE & CLEAN ENERGY PGMS & INITIAT ,Special Fund,32148500
